training_seed,seed,episode_return,success,steps,action_energy,final_position
7,2026,-0.0010574150066507554,False,999,0.010574150066507502,-0.5233910083770752
7,2027,-0.002640967659914042,False,999,0.026409676599140588,-0.522140383720398
7,2028,-0.00040156364769600226,False,999,0.004015636476960003,-0.523190975189209
7,2029,-0.0032489213143266148,False,999,0.032489213143266235,-0.5248405337333679
7,2030,-0.0004052078341585731,False,999,0.004052078341585697,-0.5231671929359436
7,2031,-0.00040132725198454487,False,999,0.0040132725198454245,-0.5231937766075134
7,2032,-0.0007061296681923219,False,999,0.007061296681923232,-0.5229495167732239
7,2033,-0.0018039127147265258,False,999,0.01803912714726525,-0.5229506492614746
7,2034,-0.002124458214256421,False,999,0.021244582142564174,-0.5226731300354004
7,2035,-0.0011163503139642362,False,999,0.011163503139642249,-0.5233694911003113
7,2036,-0.006070717126495966,False,999,0.06070717126495949,-0.5293733477592468
7,2037,-0.004757737184624719,False,999,0.04757737184624718,-0.5270352959632874
7,2038,-0.001665643716289166,False,999,0.016656437162891585,-0.5232831239700317
7,2039,-0.0013238782535807128,False,999,0.013238782535807063,-0.5230873227119446
7,2040,-0.0019436898147223163,False,999,0.019436898147223162,-0.5234858989715576
7,2041,-0.0010529602930318275,False,999,0.010529602930318219,-0.5229843258857727
7,2042,-0.0007852720539792627,False,999,0.007852720539792652,-0.5229449272155762
7,2043,-0.003804123033357747,False,999,0.0380412303335776,-0.5255790948867798
7,2044,-0.0004904448709642597,False,999,0.004904448709642594,-0.5230331420898438
7,2045,-0.005040351878622265,False,999,0.05040351878622249,-0.5275076031684875
7,2046,-0.000431104214210888,False,999,0.004311042142108874,-0.5231014490127563
7,2047,-0.0005874083346018963,False,999,0.0058740833460189865,-0.5229777097702026
7,2048,-0.0029764803499487,False,999,0.02976480349948715,-0.5245102643966675
7,2049,-0.0004128409910473241,False,999,0.004128409910473225,-0.5232762694358826
7,2050,-0.003925928261173473,False,999,0.03925928261173477,-0.5257527232170105
7,2051,-0.0009685857920620861,False,999,0.009685857920620827,-0.5229641795158386
7,2052,-0.00040111459163130205,False,999,0.004011145916312989,-0.5232198238372803
7,2053,-0.0028106280616149947,False,999,0.028106280616150073,-0.5243203043937683
7,2054,-0.0006494137001940822,False,999,0.006494137001940848,-0.5229597687721252
7,2055,-0.002610896697129732,False,999,0.02610896697129738,-0.5241039991378784
7,2056,-0.003904999889914629,False,999,0.039049998899146406,-0.5257226228713989
7,2057,-0.005725257701609635,False,999,0.05725257701609619,-0.5287235975265503
7,2058,-0.0011318281066385412,False,999,0.011318281066385327,-0.5230092406272888
7,2059,-0.0005650230362979222,False,999,0.005650230362979239,-0.523419201374054
7,2060,-0.006214372571489435,False,999,0.0621437257148942,-0.5296500325202942
7,2061,-0.0012358024136758714,False,999,0.012358024136758664,-0.5233171582221985
7,2062,-0.004499709667975949,False,999,0.044997096679759346,-0.5266196727752686
7,2063,-0.00046299239736224853,False,999,0.004629923973622477,-0.5233543515205383
7,2064,-0.0016057430699576258,False,999,0.016057430699576176,-0.5232442021369934
7,2065,-0.002632990571182622,False,999,0.026329905711826335,-0.5241273641586304
7,2066,-0.0026190366090546864,False,999,0.0261903660905469,-0.522165060043335
7,2067,-0.0037209238450767843,False,999,0.03720923845076811,-0.5254629254341125
7,2068,-0.0031967305045001956,False,999,0.03196730504500206,-0.5247756242752075
7,2069,-0.00047384759556565165,False,999,0.004738475955656515,-0.5233641862869263
7,2070,-0.000667711763923748,False,999,0.006677117639237502,-0.5234459042549133
7,2071,-0.005002832557160327,False,999,0.050028325571603235,-0.5274439454078674
7,2072,-0.0005402987969560587,False,999,0.005402987969560609,-0.5234089493751526
7,2073,-0.006236184673475875,False,999,0.06236184673475857,-0.5296920537948608
7,2074,-0.0011171181751840247,False,999,0.011171181751840181,-0.523369550704956
7,2075,-0.001454631844917461,False,999,0.014546318449174506,-0.5231542587280273
7,2076,-0.0013701687248091786,False,999,0.013701687248091706,-0.5232470035552979
7,2077,-0.006141123120527387,False,999,0.06141123120527374,-0.5295085906982422
7,2078,-0.0006231005258223072,False,999,0.006231005258223109,-0.5229664444923401
7,2079,-0.0007474735793590156,False,999,0.00747473579359018,-0.522945761680603
7,2080,-0.0015992087626671965,False,999,0.01599208762667187,-0.5231027603149414
7,2081,-0.0004138995343241012,False,999,0.004138995343241001,-0.5232793092727661
7,2082,-0.0004985199983226602,False,999,0.004985199983226604,-0.5230271816253662
7,2083,-0.006034438054536024,False,999,0.060344380545360184,-0.5293039083480835
7,2084,-0.004225892352534613,False,999,0.04225892352534609,-0.5261960625648499
7,2085,-0.001228856342263979,False,999,0.012288563422639752,-0.5230456590652466
7,2086,-0.0018312252922837737,False,999,0.018312252922837682,-0.5229286551475525
7,2087,-0.00042421160601888587,False,999,0.00424211606018885,-0.5231136679649353
7,2088,-0.0005207534170761937,False,999,0.0052075341707619365,-0.5233983397483826
7,2089,-0.0016563180149015912,False,999,0.016563180149015835,-0.523062527179718
7,2090,-0.0006331026233502328,False,999,0.00633102623350235,-0.5229630470275879
7,2091,-0.0010894585409241973,False,999,0.01089458540924191,-0.5233796834945679
7,2092,-0.002466535998897877,False,999,0.024665359988978817,-0.5239562392234802
7,2093,-0.005980485751089447,False,999,0.059804857510894184,-0.5292012691497803
7,2094,-0.002226473391039073,False,999,0.02226473391039081,-0.522576093673706
7,2095,-0.004731279159633037,False,999,0.04731279159633031,-0.5269917845726013
7,2096,-0.0012416650192982528,False,999,0.012416650192982452,-0.5233145952224731
7,2097,-0.0016462193518095225,False,999,0.01646219351809515,-0.5230697393417358
7,2098,-0.0004545391019774278,False,999,0.004545391019774264,-0.5230683088302612
