policy,seed,episode_return,success,steps,action_energy,max_position,final_position
zero,2026,0.0,False,999,0.0,-0.48294633626937866,-0.5281421542167664
zero,2027,0.0,False,999,0.0,-0.4487285315990448,-0.5175642371177673
zero,2028,0.0,False,999,0.0,-0.5226486921310425,-0.52341628074646
zero,2029,0.0,False,999,0.0,-0.44009876251220703,-0.5358589291572571
zero,2030,0.0,False,999,0.0,-0.5207350850105286,-0.5230529308319092
zero,2031,0.0,False,999,0.0,-0.5228775143623352,-0.523460865020752
zero,2032,0.0,False,999,0.0,-0.4966281056404114,-0.5193795561790466
zero,2033,0.0,False,999,0.0,-0.4643191695213318,-0.5248607397079468
zero,2034,0.0,False,999,0.0,-0.45791468024253845,-0.5224344730377197
zero,2035,0.0,False,999,0.0,-0.48117750883102417,-0.528039276599884
zero,2036,0.0,False,999,0.0,-0.40522024035453796,-0.5794259309768677
zero,2037,0.0,False,999,0.0,-0.42004430294036865,-0.5572053790092468
zero,2038,0.0,False,999,0.0,-0.4681980013847351,-0.5212182402610779
zero,2039,0.0,False,999,0.0,-0.47635215520858765,-0.5196454524993896
zero,2040,0.0,False,999,0.0,-0.4623465836048126,-0.5230037569999695
zero,2041,0.0,False,999,0.0,-0.48396673798561096,-0.5190110206604004
zero,2042,0.0,False,999,0.0,-0.49327829480171204,-0.519135594367981
zero,2043,0.0,False,999,0.0,-0.4322240948677063,-0.5430541634559631
zero,2044,0.0,False,999,0.0,-0.5091856122016907,-0.5209844708442688
zero,2045,0.0,False,999,0.0,-0.41677767038345337,-0.5617586970329285
zero,2046,0.0,False,999,0.0,-0.5153992772102356,-0.5220556855201721
zero,2047,0.0,False,999,0.0,-0.5026095509529114,-0.520025908946991
zero,2048,0.0,False,999,0.0,-0.44423893094062805,-0.5326629281044006
zero,2049,0.0,False,999,0.0,-0.5177194476127625,-0.524714469909668
zero,2050,0.0,False,999,0.0,-0.4305819272994995,-0.5447449684143066
zero,2051,0.0,False,999,0.0,-0.4866515100002289,-0.5189557671546936
zero,2052,0.0,False,999,0.0,-0.5222616195678711,-0.5238543748855591
zero,2053,0.0,False,999,0.0,-0.4468648135662079,-0.5308371782302856
zero,2054,0.0,False,999,0.0,-0.49930495023727417,-0.5196375250816345
zero,2055,0.0,False,999,0.0,-0.4501488506793976,-0.5287662744522095
